Category,Original_Count,Original_Percentage,Refined_Count,Refined_Percentage,Change,Status
Uncategorized,0,0.0,362,57.4,362,New
Other,474,75.1,362,57.4,-112,Renamed to Uncategorized
Billing System,50,7.9,50,7.9,0,Original
Payment Processing,31,4.9,31,4.9,0,Original
Request/Enhancement,0,0.0,27,4.3,27,New
Account Management,0,0.0,27,4.3,27,New
Integration,24,3.8,24,3.8,0,Original
System Issues,0,0.0,15,2.4,15,New
Rate & Pricing,0,0.0,12,1.9,12,New
Meter Management,12,1.9,12,1.9,0,Original
Data Issues,0,0.0,11,1.7,11,New
Autopay System,11,1.7,11,1.7,0,Original
Customer Portal,10,1.6,10,1.6,0,Original
System Performance,9,1.4,9,1.4,0,Original
Data Management,8,1.3,8,1.3,0,Original
Communication,0,0.0,7,1.1,7,New
Report Issues,0,0.0,5,0.8,5,New
Portal Issues,0,0.0,4,0.6,4,New
Calculation Issues,0,0.0,4,0.6,4,New
Enhancement,2,0.3,2,0.3,0,Original
